playlist_url,year,track_id,track_name,track_popularity,album,artist_id,artist_name,artist_genres,artist_popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
https://open.spotify.com/playlist/37i9dQZF1DWTE7dVUebpUW,2017,42ydLwx4i5V49RXHOozJZq,Scars To Your Beautiful,72,Know-It-All (Deluxe),2wUjUUtkb5lvLKcGKsKqsR,Alessia Cara,"['canadian contemporary r&b', 'canadian pop', 'pop']",72,0.319,0.739,0,-5.74,1,0.272,0.0285,0.0,0.111,0.449,194.169,230227,4
https://open.spotify.com/playlist/5GhQiRkGuqzpWZSE7OU4Se,2021,4qu63nuBpdn0qHUHuObEj1,Leave Before You Love Me (with Jonas Brothers),83,Leave Before You Love Me,64KEffDW9EtZ1y2vBYgq8T,Marshmello,"['brostep', 'edm', 'pop', 'progressive electro house']",84,0.721,0.738,7,-4.77,1,0.0403,0.00226,4.41e-06,0.118,0.637,119.976,154983,4
https://open.spotify.com/playlist/37i9dQZF1DXcagnSNtrGuJ,2011,35KiiILklye1JRRctaLUb4,Holocene,57,Bon Iver,4LEiUm1SRbFMgfqnQTwUbQ,Bon Iver,"['chamber pop', 'eau claire indie', 'indie folk', 'melancholia', 'modern rock']",76,0.374,0.304,1,-14.52,1,0.0302,0.943,0.298,0.126,0.147,147.969,336613,4
https://open.spotify.com/playlist/37i9dQZF1DWUZv12GM5cFk,2000,4LwU4Vp6od3Sb08CsP99GC,The Next Episode,81,2001,6DPYiyq5kWVQS4RGwxzPC7,Dr. Dre,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",79,0.922,0.909,10,-2.429,0,0.27,0.0281,0.0,0.0856,0.309,95.295,161507,4
https://open.spotify.com/playlist/37i9dQZF1DXaW8fzPh9b08,2003,0FmCLEHfINGqwlyzvklNqy,Holidae In,58,Jackpot,3s2wTjWxK8NOX09dmsvVOh,Chingy,"['crunk', 'dirty south rap', 'hip pop', 'pop rap', 'southern hip hop']",59,0.81,0.791,7,-5.909,1,0.181,0.0893,0.0,0.0838,0.948,153.067,314400,4
https://open.spotify.com/playlist/37i9dQZF1DX3Sp0P28SIer,2013,52gvlDnre9craz9dKGObp8,La La La,58,La La La,1bT7m67vi78r2oqvxrP3X5,Naughty Boy,['uk contemporary r&b'],61,0.754,0.677,6,-4.399,0,0.0316,0.112,0.0,0.111,0.254,124.988,220779,4
https://open.spotify.com/playlist/37i9dQZF1DX9ukdrXQLJGZ,2015,5uDASfU19gDxSjW8cnCaBp,Chill Bill (feat. J. Davi$ & Spooks),76,Chill Bill (feat. J. Davi$ & Spooks),2hWs22BmQkK4czFtDLnar2,Rob $tone,"['san diego rap', 'viral trap']",58,0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,177184,4
https://open.spotify.com/playlist/37i9dQZF1DXcagnSNtrGuJ,2011,2OXidlnDThZR3zf36k6DVL,Just A Kiss,64,Own The Night,32WkQRZEVKSzVAAYqukAEA,Lady A,"['contemporary country', 'country', 'country dawn', 'country pop', 'country road']",67,0.593,0.639,1,-5.826,1,0.0307,0.446,0.0,0.0998,0.332,142.881,218840,4
https://open.spotify.com/playlist/37i9dQZF1DX3Sp0P28SIer,2013,009ImBOrIUlWgla8U05RAC,Unconditionally,78,PRISM,6jJ0s89eD6GaHleKKya26X,Katy Perry,['pop'],84,0.432,0.725,7,-4.862,1,0.0431,0.00273,0.0,0.208,0.353,128.902,228879,4
https://open.spotify.com/playlist/37i9dQZF1DX0P7PzzKwEKl,2002,2QsoVMTKj5m5kgztTOep98,Hey Baby,59,Rock Steady (Expanded Edition),0cQbJU1aAzvbEmTuljWLlF,No Doubt,"['dance pop', 'dance rock', 'permanent wave', 'pop rock', 'rock']",69,0.705,0.872,11,-3.557,0,0.126,0.0618,0.0,0.227,0.75,93.628,207040,4
